Date : 2026-03-24 01:14:17
Directory : c:\omnora OS
Total : 826 files,  178742 codes, 4322 comments, 16345 blanks, all 199409 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| frontend\src\app\api\dns-check                                                |          1 |         15 |          0 |          4 |         19 |
| frontend\src\app\store                                                        |          3 |        271 |         15 |         50 |        336 |
| frontend\src\app\store\[merchant_slug]                                        |          2 |        195 |         14 |         37 |        246 |
| frontend\src\app\store\[merchant_slug]\[page_slug]                            |          1 |         87 |          6 |         18 |        111 |
| frontend\src\app\store\[merchant_slug]\track                                  |          1 |        108 |          8 |         19 |        135 |
| frontend\src\app\store\[merchant_slug]\track\[order_id]                       |          1 |        108 |          8 |         19 |        135 |
| frontend\src\app\store\[slug]                                                 |          1 |         76 |          1 |         13 |         90 |
| frontend\src\components                                                       |        175 |     32,277 |      1,127 |      3,535 |     36,939 |
| frontend\src\components (Files)                                               |         33 |      4,672 |        135 |        672 |      5,479 |
| frontend\src\components\admin                                                 |          4 |        861 |         40 |         85 |        986 |
| frontend\src\components\auth                                                  |          1 |        159 |          6 |         20 |        185 |
| frontend\src\components\blocks                                                |         16 |      2,352 |         72 |        250 |      2,674 |
| frontend\src\components\builder                                               |          6 |      1,150 |         36 |        124 |      1,310 |
| frontend\src\components\cart                                                  |         11 |      2,717 |        106 |        253 |      3,076 |
| frontend\src\components\cms                                                   |         48 |     12,003 |        504 |      1,192 |     13,699 |
| frontend\src\components\cms (Files)                                           |         39 |      9,642 |        473 |      1,036 |     11,151 |
| frontend\src\components\cms\blocks                                            |          1 |         74 |          1 |          9 |         84 |
| frontend\src\components\cms\editors                                           |          4 |        613 |         16 |         60 |        689 |
| frontend\src\components\cms\help                                              |          2 |        305 |          3 |         22 |        330 |
| frontend\src\components\cms\properties                                        |          2 |      1,369 |         11 |         65 |      1,445 |
| frontend\src\components\dashboard                                             |          4 |        508 |         10 |         66 |        584 |
| frontend\src\components\fomo                                                  |          1 |         78 |          2 |          9 |         89 |
| frontend\src\components\home                                                  |          9 |      1,085 |         18 |        139 |      1,242 |
| frontend\src\components\media                                                 |          1 |        304 |          4 |         25 |        333 |
| frontend\src\components\merchant                                              |          1 |         97 |          3 |         15 |        115 |
| frontend\src\components\onboarding                                            |          1 |        232 |          9 |         31 |        272 |
| frontend\src\components\orders                                                |          2 |        135 |          0 |         19 |        154 |
| frontend\src\components\pwa                                                   |          1 |         94 |          8 |         19 |        121 |
| frontend\src\components\seller                                                |         21 |      4,091 |        121 |        425 |      4,637 |
| frontend\src\components\storefront                                            |          6 |      1,125 |         32 |        118 |      1,275 |
| frontend\src\components\superadmin                                            |          3 |        259 |          5 |         27 |        291 |
| frontend\src\components\ui                                                    |          6 |        355 |         16 |         46 |        417 |
| frontend\src\config                                                           |          2 |        169 |          4 |          7 |        180 |
| frontend\src\context                                                          |         11 |      2,435 |         56 |        348 |      2,839 |
| frontend\src\data                                                             |          1 |         92 |          0 |          0 |         92 |
| frontend\src\hooks                                                            |         12 |        680 |         64 |        141 |        885 |
| frontend\src\lib                                                              |          8 |        924 |         58 |        180 |      1,162 |
| frontend\src\pages                                                            |         63 |     13,134 |        187 |      2,084 |     15,405 |
| frontend\src\pages (Files)                                                    |         56 |     12,061 |        159 |      1,981 |     14,201 |
| frontend\src\pages\admin                                                      |          2 |        252 |          2 |         25 |        279 |
| frontend\src\pages\builder                                                    |          1 |        292 |          5 |         15 |        312 |
| frontend\src\pages\marketing                                                  |          1 |        108 |          5 |         12 |        125 |
| frontend\src\pages\seller                                                     |          1 |        309 |         12 |         33 |        354 |
| frontend\src\pages\super-admin                                                |          2 |        112 |          4 |         18 |        134 |
| frontend\src\platform                                                         |         56 |      9,717 |        365 |      1,357 |     11,439 |
| frontend\src\platform\ai                                                      |          1 |         84 |         10 |         14 |        108 |
| frontend\src\platform\client                                                  |          5 |        709 |         23 |         81 |        813 |
| frontend\src\platform\components                                              |          1 |        554 |          9 |         70 |        633 |
| frontend\src\platform\core                                                    |         18 |      2,942 |        129 |        507 |      3,578 |
| frontend\src\platform\forge                                                   |          1 |        181 |         10 |         38 |        229 |
| frontend\src\platform\kernel                                                  |          5 |        312 |         22 |         54 |        388 |
| frontend\src\platform\library                                                 |         20 |      4,075 |        113 |        447 |      4,635 |
| frontend\src\platform\library (Files)                                         |          2 |        691 |         14 |         78 |        783 |
| frontend\src\platform\library\modules                                         |         18 |      3,384 |         99 |        369 |      3,852 |
| frontend\src\platform\navigation                                              |          1 |         73 |          1 |         10 |         84 |
| frontend\src\platform\publish                                                 |          4 |        787 |         48 |        136 |        971 |
| frontend\src\services                                                         |          3 |        253 |          5 |         32 |        290 |
| frontend\src\store                                                            |          1 |         99 |          4 |         19 |        122 |
| frontend\src\stores                                                           |          5 |        815 |         65 |        172 |      1,052 |
| frontend\src\styles                                                           |          5 |      1,084 |          0 |        185 |      1,269 |
| frontend\src\utils                                                            |         20 |      1,073 |         60 |        199 |      1,332 |
| frontend\tmp                                                                  |          1 |         27 |          1 |          7 |         35 |
| gsgbackend                                                                    |        156 |     45,350 |        923 |      2,930 |     49,203 |
| gsgbackend (Files)                                                            |         18 |     10,773 |         51 |        310 |     11,134 |
| gsgbackend\config                                                             |          3 |        155 |          8 |         30 |        193 |
| gsgbackend\controllers                                                        |         22 |      5,826 |        229 |        972 |      7,027 |
| gsgbackend\data                                                               |          9 |     20,530 |          2 |          3 |     20,535 |
| gsgbackend\docs                                                               |          2 |         74 |          0 |         37 |        111 |
| gsgbackend\email-templates                                                    |          5 |        329 |          0 |         57 |        386 |
| gsgbackend\jobs                                                               |          1 |         96 |          6 |         19 |        121 |
| gsgbackend\middleware                                                         |          7 |        323 |         22 |         67 |        412 |
| gsgbackend\routes                                                             |         30 |      1,464 |        235 |        325 |      2,024 |
| gsgbackend\scripts                                                            |         12 |        779 |         69 |        142 |        990 |
| gsgbackend\services                                                           |         24 |      2,884 |        193 |        507 |      3,584 |
| gsgbackend\services (Files)                                                   |         21 |      2,746 |        190 |        483 |      3,419 |
| gsgbackend\services\shipping                                                  |          3 |        138 |          3 |         24 |        165 |
| gsgbackend\templates                                                          |          3 |        201 |          0 |          0 |        201 |
| gsgbackend\templates\home                                                     |          3 |        201 |          0 |          0 |        201 |
| gsgbackend\tests                                                              |          6 |        822 |         42 |        232 |      1,096 |
| gsgbackend\tests (Files)                                                      |          2 |        417 |         10 |        137 |        564 |
| gsgbackend\tests\integration                                                  |          2 |        279 |         29 |         61 |        369 |
| gsgbackend\tests\security                                                     |          1 |         88 |          3 |         24 |        115 |
| gsgbackend\tests\unit                                                         |          1 |         38 |          0 |         10 |         48 |
| gsgbackend\utils                                                              |          9 |        810 |         49 |        163 |      1,022 |
| gsgbackend\validators                                                         |          4 |        128 |          0 |         29 |        157 |
| gsgbackend\workers                                                            |          1 |        156 |         17 |         37 |        210 |
| scripts                                                                       |          2 |          0 |          0 |          2 |          2 |
| storefront-export                                                             |         52 |      9,889 |        269 |      1,441 |     11,599 |
| storefront-export\components                                                  |         27 |      4,890 |        173 |        569 |      5,632 |
| storefront-export\components (Files)                                          |          6 |      1,130 |         40 |        169 |      1,339 |
| storefront-export\components\cart                                             |          9 |      2,223 |        104 |        205 |      2,532 |
| storefront-export\components\home                                             |          9 |      1,085 |         18 |        139 |      1,242 |
| storefront-export\components\storefront                                       |          3 |        452 |         11 |         56 |        519 |
| storefront-export\context                                                     |          2 |        546 |         15 |         81 |        642 |
| storefront-export\pages                                                       |         23 |      4,453 |         81 |        791 |      5,325 |
| supabase                                                                      |         10 |        779 |         68 |        158 |      1,005 |
| supabase\functions                                                            |          9 |        695 |         53 |        148 |        896 |
| supabase\functions\ai-advisor                                                 |          1 |         58 |          2 |         17 |         77 |
| supabase\functions\create-checkout-session                                    |          1 |         76 |          5 |         13 |         94 |
| supabase\functions\fetch-platform-stats                                       |          1 |         56 |          6 |         15 |         77 |
| supabase\functions\generate-sitemap                                           |          1 |         56 |          7 |         17 |         80 |
| supabase\functions\merchant-stripe-webhook                                    |          1 |        100 |          8 |         26 |        134 |
| supabase\functions\meta-capi-proxy                                            |          1 |         77 |          9 |         17 |        103 |
| supabase\functions\og-image                                                   |          1 |        110 |          5 |          8 |        123 |
| supabase\functions\process-merchant-checkout                                  |          1 |         80 |          6 |         16 |        102 |
| supabase\functions\stripe-webhook                                             |          1 |         82 |          5 |         19 |        106 |
| supabase\migrations                                                           |          1 |         84 |         15 |         10 |        109 |
| tmp                                                                           |          1 |         13 |          0 |          3 |         16 |
+-------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                      | language           | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\omnora OS\QUICK_START.md                                                   | Markdown           |        142 |          0 |         78 |        220 |
| c:\omnora OS\api\index.js                                                     | JavaScript         |          2 |          3 |          2 |          7 |
| c:\omnora OS\api\storefront.js                                                | JavaScript         |        101 |         16 |         17 |        134 |
| c:\omnora OS\audit-routes.js                                                  | JavaScript         |         24 |          0 |          8 |         32 |
| c:\omnora OS\backend\BULLMQ_STATUS.md                                         | Markdown           |        104 |          0 |         32 |        136 |
| c:\omnora OS\backend\COLLECTION_PAGE_FIX.md                                   | Markdown           |         99 |          0 |         22 |        121 |
| c:\omnora OS\backend\MONGODB_SETUP.md                                         | Markdown           |        112 |          0 |         53 |        165 |
| c:\omnora OS\backend\PRODUCTION_READINESS.md                                  | Markdown           |        112 |          0 |         34 |        146 |
| c:\omnora OS\backend\README.md                                                | Markdown           |         82 |          0 |         29 |        111 |
| c:\omnora OS\backend\SECURITY_FIXES.md                                        | Markdown           |         86 |          0 |         22 |        108 |
| c:\omnora OS\backend\bootstrap.js                                             | JavaScript         |         76 |         11 |         19 |        106 |
| c:\omnora OS\backend\check_products.js                                        | JavaScript         |         30 |          1 |         10 |         41 |
| c:\omnora OS\backend\check_status.js                                          | JavaScript         |          7 |          0 |          1 |          8 |
| c:\omnora OS\backend\check_users.js                                           | JavaScript         |         14 |          0 |          4 |         18 |
| c:\omnora OS\backend\config\env.js                                            | JavaScript         |        122 |          5 |         19 |        146 |
| c:\omnora OS\backend\controllers\adminController.js                           | JavaScript         |        194 |          4 |         30 |        228 |
| c:\omnora OS\backend\controllers\analyticsController.js                       | JavaScript         |         75 |          3 |         16 |         94 |
| c:\omnora OS\backend\controllers\authController.js                            | JavaScript         |        212 |         30 |         30 |        272 |
| c:\omnora OS\backend\controllers\cartController.js                            | JavaScript         |        217 |          0 |         32 |        249 |
| c:\omnora OS\backend\controllers\contactController.js                         | JavaScript         |         64 |          3 |         14 |         81 |
| c:\omnora OS\backend\controllers\domainController.js                          | JavaScript         |        100 |          2 |         15 |        117 |
| c:\omnora OS\backend\controllers\inventoryController.js                       | JavaScript         |        354 |          4 |         48 |        406 |
| c:\omnora OS\backend\controllers\mediaController.js                           | JavaScript         |         59 |          1 |         11 |         71 |
| c:\omnora OS\backend\controllers\newsletterController.js                      | JavaScript         |         59 |          3 |         12 |         74 |
| c:\omnora OS\backend\controllers\orderController.js                           | JavaScript         |        606 |         49 |         93 |        748 |
| c:\omnora OS\backend\controllers\paymentController.js                         | JavaScript         |        148 |          8 |         19 |        175 |
| c:\omnora OS\backend\controllers\phase1Controller.js                          | JavaScript         |        467 |         12 |         93 |        572 |
| c:\omnora OS\backend\controllers\phase2Controller.js                          | JavaScript         |        687 |         36 |        131 |        854 |
| c:\omnora OS\backend\controllers\phase3Controller.js                          | JavaScript         |        808 |         54 |        155 |      1,017 |
| c:\omnora OS\backend\controllers\productController.js                         | JavaScript         |        328 |         13 |         42 |        383 |
| c:\omnora OS\backend\controllers\recommendationController.js                  | JavaScript         |        213 |          1 |         32 |        246 |
| c:\omnora OS\backend\controllers\reviewController.js                          | JavaScript         |        333 |          6 |         51 |        390 |
| c:\omnora OS\backend\controllers\searchController.js                          | JavaScript         |        203 |          2 |         24 |        229 |
| c:\omnora OS\backend\controllers\userController.js                            | JavaScript         |        200 |          2 |         34 |        236 |
| c:\omnora OS\backend\controllers\webhookController.js                         | JavaScript         |        143 |         18 |         22 |        183 |
| c:\omnora OS\backend\controllers\wishlistController.js                        | JavaScript         |        357 |          2 |         52 |        411 |
| c:\omnora OS\backend\data\admin_action_logs.json                              | JSON               |          1 |          0 |          0 |          1 |
| c:\omnora OS\backend\data\defaultProducts.js                                  | JavaScript         |         87 |          2 |          3 |         92 |
| c:\omnora OS\backend\data\event.json                                          | JSON               |      9,520 |          0 |          0 |      9,520 |
| c:\omnora OS\backend\data\orders.json                                         | JSON               |          1 |          0 |          0 |          1 |
| c:\omnora OS\backend\data\product.json                                        | JSON               |     10,687 |          0 |          0 |     10,687 |
| c:\omnora OS\backend\data\products.json                                       | JSON               |         80 |          0 |          0 |         80 |
| c:\omnora OS\backend\data\sitecontent.json                                    | JSON               |        574 |          0 |          0 |        574 |
| c:\omnora OS\backend\data\user.json                                           | JSON               |        290 |          0 |          0 |        290 |
| c:\omnora OS\backend\data\users.json                                          | JSON               |         26 |          0 |          0 |         26 |
| c:\omnora OS\backend\docs\API_OPERATIONS.md                                   | Markdown           |         42 |          0 |         18 |         60 |
| c:\omnora OS\backend\docs\RUNBOOK_ARCHITECTURE.md                             | Markdown           |         32 |          0 |         19 |         51 |
| c:\omnora OS\backend\ecosystem.config.js                                      | JavaScript         |         53 |          0 |          2 |         55 |
| c:\omnora OS\backend\email-templates\order-cancelled.html                     | HTML               |         60 |          0 |         11 |         71 |
| c:\omnora OS\backend\email-templates\order-delivered.html                     | HTML               |         60 |          0 |         10 |         70 |
| c:\omnora OS\backend\email-templates\order-placed.html                        | HTML               |         71 |          0 |         12 |         83 |
| c:\omnora OS\backend\email-templates\order-shipped.html                       | HTML               |         69 |          0 |         12 |         81 |
| c:\omnora OS\backend\email-templates\payment-approved.html                    | HTML               |         69 |          0 |         12 |         81 |
| c:\omnora OS\backend\jobs\cleanupInitiatedOrders.js                           | JavaScript         |         96 |          6 |         19 |        121 |
| c:\omnora OS\backend\list_merchants.js                                        | JavaScript         |         18 |          0 |          7 |         25 |
| c:\omnora OS\backend\middleware\auth.js                                       | JavaScript         |        113 |          2 |         22 |        137 |
| c:\omnora OS\backend\middleware\authEnhanced.js                               | JavaScript         |          1 |          0 |          1 |          2 |
| c:\omnora OS\backend\middleware\authMiddleware.js                             | JavaScript         |         12 |          0 |          2 |         14 |
| c:\omnora OS\backend\middleware\gatekeeper.js                                 | JavaScript         |        102 |         11 |         22 |        135 |
| c:\omnora OS\backend\middleware\rateLimiter.js                                | JavaScript         |         28 |          0 |          7 |         35 |
| c:\omnora OS\backend\middleware\validate.js                                   | JavaScript         |         15 |          0 |          4 |         19 |
| c:\omnora OS\backend\modules\ai-forge\ai-forge.controller.js                  | JavaScript         |         47 |          0 |          6 |         53 |
| c:\omnora OS\backend\modules\ai-forge\ai-forge.routes.js                      | JavaScript         |         14 |          1 |          5 |         20 |
| c:\omnora OS\backend\modules\ai-forge\ai-forge.service.js                     | JavaScript         |        130 |         14 |         26 |        170 |
| c:\omnora OS\backend\modules\analytics\analytics.controller.js                | JavaScript         |         32 |          0 |          4 |         36 |
| c:\omnora OS\backend\modules\analytics\analytics.routes.js                    | JavaScript         |         11 |          2 |          5 |         18 |
| c:\omnora OS\backend\modules\analytics\analytics.service.js                   | JavaScript         |         38 |          0 |          6 |         44 |
| c:\omnora OS\backend\modules\checkout\checkout.controller.js                  | JavaScript         |         46 |          0 |          5 |         51 |
| c:\omnora OS\backend\modules\checkout\checkout.routes.js                      | JavaScript         |         11 |          2 |          5 |         18 |
| c:\omnora OS\backend\modules\checkout\checkout.service.js                     | JavaScript         |         82 |          6 |         13 |        101 |
| c:\omnora OS\backend\modules\tenant\tenant.controller.js                      | JavaScript         |         39 |          2 |          7 |         48 |
| c:\omnora OS\backend\modules\tenant\tenant.routes.js                          | JavaScript         |         12 |          2 |          5 |         19 |
| c:\omnora OS\backend\modules\tenant\tenant.service.js                         | JavaScript         |         58 |          2 |         13 |         73 |
| c:\omnora OS\backend\package-lock.json                                        | JSON               |      9,330 |          0 |          1 |      9,331 |
| c:\omnora OS\backend\package-production.json                                  | JSON               |         71 |          0 |          1 |         72 |
| c:\omnora OS\backend\package.json                                             | JSON               |         57 |          0 |          1 |         58 |
| c:\omnora OS\backend\routes\adminRoutes.js                                    | JavaScript         |         20 |          5 |          7 |         32 |
| c:\omnora OS\backend\routes\authRoutes.js                                     | JavaScript         |         13 |          2 |          4 |         19 |
| c:\omnora OS\backend\routes\cartRoutes.js                                     | JavaScript         |         15 |          1 |          4 |         20 |
| c:\omnora OS\backend\routes\contactRoutes.js                                  | JavaScript         |          9 |          2 |          3 |         14 |
| c:\omnora OS\backend\routes\domainRoutes.js                                   | JavaScript         |          7 |          0 |          3 |         10 |
| c:\omnora OS\backend\routes\healthRoutes.js                                   | JavaScript         |         57 |          3 |          8 |         68 |
| c:\omnora OS\backend\routes\inventoryRoutes.js                                | JavaScript         |         20 |          3 |          6 |         29 |
| c:\omnora OS\backend\routes\jobRoutes.js                                      | JavaScript         |         27 |          0 |          6 |         33 |
| c:\omnora OS\backend\routes\mediaRoutes.js                                    | JavaScript         |         45 |          4 |          8 |         57 |
| c:\omnora OS\backend\routes\newsletterRoutes.js                               | JavaScript         |          9 |          2 |          3 |         14 |
| c:\omnora OS\backend\routes\paymentMethodRoutes.js                            | JavaScript         |         90 |          7 |         16 |        113 |
| c:\omnora OS\backend\routes\performanceHubRoutes.js                           | JavaScript         |         50 |         10 |         13 |         73 |
| c:\omnora OS\backend\routes\phase1Routes.js                                   | JavaScript         |         68 |         33 |         23 |        124 |
| c:\omnora OS\backend\routes\phase2Routes.js                                   | JavaScript         |         62 |         28 |         14 |        104 |
| c:\omnora OS\backend\routes\phase3Routes.js                                   | JavaScript         |         84 |         46 |         20 |        150 |
| c:\omnora OS\backend\routes\productRoutes.js                                  | JavaScript         |         21 |          0 |          4 |         25 |
| c:\omnora OS\backend\routes\recommendationRoutes.js                           | JavaScript         |         16 |          3 |          6 |         25 |
| c:\omnora OS\backend\routes\reviewRoutes.js                                   | JavaScript         |         18 |          3 |          6 |         27 |
| c:\omnora OS\backend\routes\searchRoutes.js                                   | JavaScript         |         14 |          2 |          5 |         21 |
| c:\omnora OS\backend\routes\sellerAnalyticsRoutes.js                          | JavaScript         |         44 |          4 |          7 |         55 |
| c:\omnora OS\backend\routes\sellerRoutes.js                                   | JavaScript         |         69 |          1 |         10 |         80 |
| c:\omnora OS\backend\routes\userRoutes.js                                     | JavaScript         |         21 |          1 |          4 |         26 |
| c:\omnora OS\backend\routes\whatsappTemplateRoutes.js                         | JavaScript         |         55 |          7 |         11 |         73 |
| c:\omnora OS\backend\routes\wishlistRoutes.js                                 | JavaScript         |         19 |          3 |          6 |         28 |
| c:\omnora OS\backend\scripts\check-env-leaks.js                               | JavaScript         |         35 |          0 |          8 |         43 |
| c:\omnora OS\backend\scripts\cleanup-port.js                                  | JavaScript         |         44 |          5 |          5 |         54 |
| c:\omnora OS\backend\scripts\createAdmin.js                                   | JavaScript         |         59 |          6 |         12 |         77 |
| c:\omnora OS\backend\scripts\precheck.js                                      | JavaScript         |         59 |          0 |         10 |         69 |
| c:\omnora OS\backend\scripts\seed-products-remote.js                          | JavaScript         |         46 |          4 |         11 |         61 |
| c:\omnora OS\backend\scripts\seed-remote.js                                   | JavaScript         |         52 |          3 |         10 |         65 |
| c:\omnora OS\backend\scripts\seedProducts.js                                  | JavaScript         |        147 |          9 |         13 |        169 |
| c:\omnora OS\backend\scripts\set-admin.js                                     | JavaScript         |         56 |          1 |         12 |         69 |
| c:\omnora OS\backend\scripts\start-dev.js                                     | JavaScript         |         15 |          3 |          7 |         25 |
| c:\omnora OS\backend\scripts\test-approval-system.js                          | JavaScript         |        130 |         25 |         27 |        182 |
| c:\omnora OS\backend\scripts\test-whatsapp.js                                 | JavaScript         |         31 |          0 |          4 |         35 |
| c:\omnora OS\backend\scripts\verify-system.js                                 | JavaScript         |        105 |         13 |         23 |        141 |
| c:\omnora OS\backend\server.js                                                | JavaScript         |         46 |          5 |         10 |         61 |
| c:\omnora OS\backend\services\analyticsService.js                             | JavaScript         |        125 |          9 |         32 |        166 |
| c:\omnora OS\backend\services\cartService.js                                  | JavaScript         |        299 |          8 |         35 |        342 |
| c:\omnora OS\backend\services\emailService.js                                 | JavaScript         |        198 |          1 |         23 |        222 |
| c:\omnora OS\backend\services\jobService.js                                   | JavaScript         |         64 |          2 |         12 |         78 |
| c:\omnora OS\backend\services\logger.js                                       | JavaScript         |         25 |          0 |          6 |         31 |
| c:\omnora OS\backend\services\mailblusterService.js                           | JavaScript         |         69 |          0 |         12 |         81 |
| c:\omnora OS\backend\services\manifestService.js                              | JavaScript         |         34 |          1 |          7 |         42 |
| c:\omnora OS\backend\services\memoryDbService.js                              | JavaScript         |         45 |          0 |         10 |         55 |
| c:\omnora OS\backend\services\preflightService.js                             | JavaScript         |         50 |          4 |          7 |         61 |
| c:\omnora OS\backend\services\queueService.js                                 | JavaScript         |        172 |          9 |         23 |        204 |
| c:\omnora OS\backend\services\recommendationService.js                        | JavaScript         |        229 |         13 |         36 |        278 |
| c:\omnora OS\backend\services\searchService.js                                | JavaScript         |        186 |         21 |         44 |        251 |
| c:\omnora OS\backend\services\shippingService.js                              | JavaScript         |         89 |         10 |         24 |        123 |
| c:\omnora OS\backend\services\shipping\leopardsProvider.js                    | JavaScript         |         57 |          1 |          9 |         67 |
| c:\omnora OS\backend\services\shipping\tcsProvider.js                         | JavaScript         |         23 |          2 |          6 |         31 |
| c:\omnora OS\backend\services\shipping\traxProvider.js                        | JavaScript         |         58 |          0 |          9 |         67 |
| c:\omnora OS\backend\services\stateService.js                                 | JavaScript         |        147 |          8 |         29 |        184 |
| c:\omnora OS\backend\services\waRateGuard.js                                  | JavaScript         |         87 |         11 |         23 |        121 |
| c:\omnora OS\backend\services\whatsappAutomationService.js                    | JavaScript         |        132 |         12 |         27 |        171 |
| c:\omnora OS\backend\services\whatsappService.js                              | JavaScript         |         27 |          1 |          4 |         32 |
| c:\omnora OS\backend\shared\lib\dbService.js                                  | JavaScript         |         56 |          2 |         13 |         71 |
| c:\omnora OS\backend\shared\lib\supabaseClient.js                             | JavaScript         |         20 |          1 |          7 |         28 |
| c:\omnora OS\backend\shared\middleware\authGuard.js                           | JavaScript         |         33 |          1 |          8 |         42 |
| c:\omnora OS\backend\shared\middleware\errorHandler.js                        | JavaScript         |         26 |          0 |          5 |         31 |
| c:\omnora OS\backend\shared\middleware\tenantContext.js                       | JavaScript         |         54 |          6 |         11 |         71 |
| c:\omnora OS\backend\templates\home\electronics.json                          | JSON               |         67 |          0 |          0 |         67 |
| c:\omnora OS\backend\templates\home\fashion.json                              | JSON               |         75 |          0 |          0 |         75 |
| c:\omnora OS\backend\templates\home\general.json                              | JSON               |         59 |          0 |          0 |         59 |
| c:\omnora OS\backend\test-boundaries.js                                       | JavaScript         |         93 |          8 |         19 |        120 |
| c:\omnora OS\backend\test_buckets.cjs                                         | JavaScript         |         22 |          0 |          6 |         28 |
| c:\omnora OS\backend\test_db.js                                               | JavaScript         |         19 |          1 |          8 |         28 |
| c:\omnora OS\backend\test_login_controller_final.js                           | JavaScript         |         26 |          0 |          5 |         31 |
| c:\omnora OS\backend\test_login_debug.js                                      | JavaScript         |         26 |          2 |          9 |         37 |
